country,os,count,day,month,weekday,ordinal_day
XX,T,43,1,2,4,32
XX,W,387628,1,2,4,32
XX,X,1567181,1,2,4,32
XX,Y,4551696,1,2,4,32
XY,T,2,1,2,4,32
XY,W,18537,1,2,4,32
XY,X,371440,1,2,4,32
XY,Y,1112390,1,2,4,32
XZ,T,3,1,2,4,32
XZ,W,24217,1,2,4,32
XZ,X,220180,1,2,4,32
XZ,Y,878891,1,2,4,32
YX,T,1,1,2,4,32
YX,W,11254,1,2,4,32
YX,X,73722,1,2,4,32
YX,Y,310027,1,2,4,32
YY,T,2,1,2,4,32
YY,W,12316,1,2,4,32
YY,X,564636,1,2,4,32
YY,Y,3905875,1,2,4,32
YZ,W,39,1,2,4,32
YZ,X,12025,1,2,4,32
YZ,Y,13297,1,2,4,32
ZX,W,510,1,2,4,32
ZX,X,59522,1,2,4,32
ZX,Y,147773,1,2,4,32
XX,T,44,2,2,5,33
XX,W,416126,2,2,5,33
XX,X,1581450,2,2,5,33
XX,Y,4643162,2,2,5,33
XY,T,9,2,2,5,33
XY,W,18817,2,2,5,33
XY,X,365231,2,2,5,33
XY,Y,1116282,2,2,5,33
XZ,T,1,2,2,5,33
XZ,W,26019,2,2,5,33
XZ,X,220656,2,2,5,33
XZ,Y,896253,2,2,5,33
YX,W,10402,2,2,5,33
YX,X,66146,2,2,5,33
YX,Y,294155,2,2,5,33
YY,T,2,2,2,5,33
YY,W,11679,2,2,5,33
YY,X,529137,2,2,5,33
YY,Y,3714020,2,2,5,33
YZ,W,50,2,2,5,33
YZ,X,11862,2,2,5,33
YZ,Y,13267,2,2,5,33
ZX,W,484,2,2,5,33
ZX,X,57845,2,2,5,33
ZX,Y,145500,2,2,5,33
XX,T,42,3,2,6,34
XX,W,353389,3,2,6,34
XX,X,1368017,3,2,6,34
XX,Y,4232763,3,2,6,34
XY,T,9,3,2,6,34
XY,W,17449,3,2,6,34
XY,X,320085,3,2,6,34
XY,Y,1012936,3,2,6,34
XZ,T,4,3,2,6,34
XZ,W,23178,3,2,6,34
XZ,X,189852,3,2,6,34
XZ,Y,820893,3,2,6,34
YX,T,1,3,2,6,34
YX,W,10665,3,2,6,34
YX,X,70837,3,2,6,34
YX,Y,295043,3,2,6,34
YY,T,2,3,2,6,34
YY,W,11068,3,2,6,34
YY,X,522866,3,2,6,34
YY,Y,3629585,3,2,6,34
YZ,W,52,3,2,6,34
YZ,X,11391,3,2,6,34
YZ,Y,12429,3,2,6,34
ZX,T,1,3,2,6,34
ZX,W,519,3,2,6,34
ZX,X,55499,3,2,6,34
ZX,Y,140412,3,2,6,34
XX,T,44,4,2,7,35
XX,W,311960,4,2,7,35
XX,X,1278918,4,2,7,35
XX,Y,3979781,4,2,7,35
XY,T,14,4,2,7,35
XY,W,15826,4,2,7,35
XY,X,311774,4,2,7,35
XY,Y,979515,4,2,7,35
XZ,T,1,4,2,7,35
XZ,W,20514,4,2,7,35
XZ,X,179177,4,2,7,35
XZ,Y,769684,4,2,7,35
YX,W,10975,4,2,7,35
YX,X,76358,4,2,7,35
YX,Y,299416,4,2,7,35
YY,W,9499,4,2,7,35
YY,X,481437,4,2,7,35
YY,Y,3324558,4,2,7,35
YZ,W,59,4,2,7,35
YZ,X,11228,4,2,7,35
YZ,Y,11897,4,2,7,35
ZX,W,481,4,2,7,35
ZX,X,53204,4,2,7,35
ZX,Y,135545,4,2,7,35
XX,T,46,5,2,1,36
XX,W,368614,5,2,1,36
XX,X,1485058,5,2,1,36
XX,Y,4432717,5,2,1,36
XY,T,9,5,2,1,36
XY,W,18552,5,2,1,36
XY,X,371078,5,2,1,36
XY,Y,1103262,5,2,1,36
XZ,T,2,5,2,1,36
XZ,W,22517,5,2,1,36
XZ,X,180982,5,2,1,36
XZ,Y,811972,5,2,1,36
YX,T,1,5,2,1,36
YX,W,11282,5,2,1,36
YX,X,77462,5,2,1,36
YX,Y,306629,5,2,1,36
YY,T,3,5,2,1,36
YY,W,12326,5,2,1,36
YY,X,550514,5,2,1,36
YY,Y,3894760,5,2,1,36
YZ,W,48,5,2,1,36
YZ,X,12071,5,2,1,36
YZ,Y,13262,5,2,1,36
ZX,W,551,5,2,1,36
ZX,X,58692,5,2,1,36
ZX,Y,146022,5,2,1,36
XX,T,58,6,2,2,37
XX,W,377452,6,2,2,37
XX,X,1504752,6,2,2,37
XX,Y,4473138,6,2,2,37
XY,T,14,6,2,2,37
XY,W,18325,6,2,2,37
XY,X,375372,6,2,2,37
XY,Y,1120688,6,2,2,37
XZ,T,1,6,2,2,37
